,ED50
AF_G01,36.9110022402962
AF_G02,37.3929742973805
AF_G03,36.2328407600264
AF_G04,37.4627939631889
AF_G05,36.3784054037611
AF_G06,36.2990799079778
AF_G07,36.9506662136128
ExT_G01,36.8200816415082
ExT_G02,35.3046255335989
ExT_G03,38.3841579812621
ExT_G04,35.7766140546769
ExT_G05,37.6304730534815
ExT_G06,37.7680657480604
ExT_G07,36.4476845699476
PrT_G01,38.0467375716351
PrT_G02,37.6368667192926
PrT_G03,37.6916003969946
PrT_G04,38.0418651451168
PrT_G05,38.7371385461607
PrT_G06,36.5844076949197
PrT_G07,38.532957674817
ICN_G01,32.872530322765
ICN_G02,34.6801553953881
ICN_G03,34.2560996093694
ICN_G04,33.0686668642928
ICN_G05,34.1537699065414
ICN_G06,34.6784606741429
ICN_G07,34.4181550006641
